fc_id,fc_con,index,len,s_x,s_y,e_x,e_y
1,A,1,1,253,1981,253,1981
1,A,2,30,303,1925,1189,1845
1,B,1,10,240,1750,510,1736
1,B,2,3,559,1781,559,1849
1,B,3,7,599,1739,811,1712
1,B,4,3,853,1751,854,1822
1,B,5,8,899,1707,1123,1683
1,B,6,3,1180,1730,1180,1803
1,B,7,1,1212,1675,1212,1675
1,C,1,6,233,1766,244,1513
1,C,2,3,213,1467,62,1446
1,C,3,11,62,1446,73,1123
1,C,4,4,144,1192,141,1318
1,C,5,2,141,1318,222,1340
1,C,6,1,267,1427,267,1427
1,C,7,1,298,1316,298,1316
1,D,1,24,1202,754,450,820
1,D,2,7,450,820,447,1033
1,E,1,16,1198,278,684,337
1,E,2,10,684,337,673,707
1,F,1,1,896,1266,896,1266
1,F,2,13,846,833,843,1216
1,F,3,11,808,1255,482,1301
1,F,4,4,444,1253,447,1128
1,F,5,5,488,1071,666,1055
1,G,1,13,937,825,937,1204
1,G,2,4,970,1254,1063,1234
1,G,3,7,1102,1197,1105,1011
1,G,4,4,1110,1004,1204,993
1,G,5,2,1209,1066,1184,1067
1,G,6,5,1184,1067,1175,1191
1,H,1,6,721,848,719,1026
1,H,2,8,351,1042,356,773
1,H,3,9,390,737,663,711
2,A,1,19,1322,276,1936,234
2,A,2,11,1945,397,1785,596
2,B,1,4,1240,989,1368,977
2,B,2,6,1413,941,1414,773
2,B,3,6,1235,747,1383,734
2,B,4,9,1401,640,1707,588
2,C,1,13,1238,1843,1650,1809
2,C,2,7,1650,1751,1653,1589
2,C,3,9,1500,1655,1234,1684
2,D,1,12,1417,1338,1508,1657
2,D,2,18,1651,1584,2192,1528
2,E,1,17,2184,1148,1635,1063
2,E,2,10,1591,1092,1401,1124
2,E,3,4,1366,1053,1237,1063
2,F,1,15,1983,225,2426,185
2,F,2,13,1930,759,1964,1037
2,F,3,3,1964,1037,1854,1060
2,G,1,21,1574,1386,2188,1439
2,H,1,21,1559,1296,2195,1237
